名称,元器件,封装,数量,备注,,以下乐博士提供,,,,,
CON6,BLE,H2_2.0mm_2*3,1,,,EST控制器底部垫片,,108.4mm*68mm*0.5,PVC,1,
105,"C1, C2, C3, C4,C68, C81",CAP_0603,6,,,AA偏尾负极电池片,,13*11*0.4MM，尾长9MM宽度为2MM，弹簧线径为0.7MM长度为7MM,黄铜镀镍,1,
105,C5,CAP_0805,1,,,AA偏尾正极电池片,,13*11*0.4MM，尾长9MM宽度为2MM，凸点高度2.0MM,黄铜镀镍,1,
20pF,"C6, C7, C76, C77",CAP_0603,4,,,AA正负连片电池片,,27*11*0.4MM，凸点高度2.0MM，弹簧线径0.7MM长度7MM,黄铜镀镍,5,
104,"C8, C11, C14, C24, C26, C28, C30, C39, C40, C47, C48, C57, C61, C62, C66, C69, C70, C74, C75, C78, C79, C80, C82, C83, C84, C85",CAP_0603,26,,,正极弹片,,10.2*9.5*3.6mm，弯折带半孔,磷铜镀镍,1,
330pF,"C15, C16, C17, C18, C19, C20, C21, C22",CAP_0603,8,,,正极接触针,,直径3.9*7mm，顶端开内径1.2mm孔,黄铜镀镍,1,
10pF,"C23, C25, C27, C29, C31, C32, C33, C34",CAP_0603,8,,,负极接触片,,10*12.4*0.9mm，引脚弯折开内径1mm孔,黄铜镀镍,1,
47pF,"C35, C36, C37, C38",CAP_0603,4,,,铆钉,,直径1.7*8.5mm，螺帽直径3.3mm，顶部压花,铁镀镍,5,
100pF,"C41, C42, C43, C44, C45, C46, C49, C50, C51, C52, C53, C54",CAP_0603,12,,,18650电池组件,,NCR18650B   3.7V   3400mAh,,2,
103,"C55, C56",CAP_0603,2,,,按键背光板,,"50*39.8*1.8mm,尺寸型号：W1300-5040IWP（1）背光颜色：双色6PCS 线材：GB红黑线 导光板：亚克力丝印板",,1,
471,C58,CAP_0603,1,,,钢化玻璃,,长90.8*宽59.8*厚度2MM（黑色），屏幕与按键位置需做表面处理）开介、磨边、钢化、丝印、贴膜包装,,1,
3.9nF,"C59, C60",CAP_0603,2,,,屏幕,,52*43.5*Max1.8mm,,1,
15PF,"C63, C64, C65,C67",CAP_0603,4,,,桶（打包）,,,,1,
10uF,"C9, C10, C12, C13,C71, C72, C73",CAP_0805,7,,,锂电池充电器,,"12V/1A 美规两脚插头，DC3.5*1.35mm,线1.5米长，AC100-240V10MM直头",,1,
BAT54S,"D1, D2, D3, D4",SOT-23,4,,,USB数据线,,MINI USB数据线(T型)，纯铜，长度1.2米,,1,
1N5819,D6,SMA,1,,,硅胶按键,,导电硅胶，￠9*￠3*5.2mm,,1,
1N4007,"D7, D8",SMA,2,,,水晶头连接线,,"长度25cm, 黑色",,4,
1N4007,"D10, D11",805,2,,,水晶头连接线,,"长度35cm, 黑色",,2,
LED,"D12, D13",LED-0603,2,,,水晶头连接线,,"长度50cm, 黑色",,2,
100uF/16V,"E1, E2",1812,2,,,胶水,,"406D,20mL/支",,2g,
220uF,"E3, E4",KLF_CD0.254,2,,,,,,,,
330uF,"E5, E6, E7",1812,3,,,,,,,,
保险丝0.75A/13.2V,"F1, F2, F3, F4",1812,4,,,,,,,,
FPC立式插座0.5MM-12P,J2,FPC_12P,1,,,,,,,,
扬声器, J13,SIP2,1,,,,,,,,
Header 3X2,J4,H2_2.0mm_2*3,1,,,,,,,,
CON6网络端口,"J5, J6, J7, J8",Lego_RJ11,4,RJ11,,,,,,,
CON24网络端口,J9,RJ11-4,1,,,,,,,,
/,J10,SIP2CON,1,,,,,,,,
CON3拨动开关,J11,EST_POW_SW,1,,,,,,,,
CON6(USB母口),J12,USB-A插件,1,直边,,,,,,,
10UH,"L1,R164",0805,2,,,,,,,,
10uH,"L2,L3",L_7x7,2,,,,,,,,
FPC立式插座0.5MM-30P,LCD1,FPC_30P,1,,,,,,,,
SS8050,"Q2, Q7, Q8, Q9, Q10, Q12",SOT-23,6,,,,,,,,
SS8550,"Q3, Q4, Q5, Q6",SOT-23,4,,,,,,,,
IRF530,Q11,SOT-23,1,,,,,,,,
10K,"R1, R2, R5, R7, R12, R17, R18, R19, R20, R49, R51, R53, R55,R139, R140, R153, R158, R159, R160",RES_0603,19,,,,,,,,
1K,"R3, R25, R27, R29, R31, R37, R38, R39, R40,R135,R137, R150, R154, R169, R170",RES_0603,15,,,,,,,,
4.7M,"R4, R166",RES_0603,2,,,,,,,,
330,"R6, R26, R28, R30, R32, R65, R66, R67, R68, R78, R80, R82, R84",RES_0603,13,,,,,,,,
0,"R8, R10, R152",RES_0603,3,,,,,,,,
/,"R9, R11,R144",RES_0603,3,,,,,,,,
4.7K,"R13, R14, R15, R16, R33, R34, R35, R36, R50, R52, R54, R56, R69, R70, R71, R72, R73, R74, R75, R76, R77, R79, R81, R83, R99, R100, R105, R106, R107, R108, R113, R114, R117, R118, R123, R124, R125, R126, R131, R132",RES_0603,40,,,,,,,,
2K,"R21, R22, R23, R24, R41, R42, R43, R44, R45, R46, R47, R48, R157, R310, R311",RES_0603,15,,,,,,,,
18K,"R57, R58, R59, R60",RES_0603,4,,,,,,,,
100K,"R61, R62, R63, R64, R97, R98, R101, R103, R109, R110, R111, R112, R115, R116, R119, R121, R127, R128, R129, R130, R133, R134,R165, R167, R171, R172, R173, R174",RES_0603,28,,,,,,,,
430K,"R85, R87, R89, R91",RES_0603,4,,,,,,,,
220K,"R86, R88, R90, R92, R93, R94, R95, R96",RES_0603,8,,,,,,,,
200K,"R102, R104, R120, R122",RES_0603,4,,,,,,,,
43K," R136,R138",RES_0603,2,,,,,,,,
15K,"R143, R149",RES_0603,2,,,,,,,,
100,R145,1206,1,,,,,,,,
6.8K,"R141, R142",RES_0603,2,,,,,,,,
22,"R146, R148, R162, R163",RES_0603,4,,,,,,,,
16K,R147,RES_0603,1,,,,,,,,
22K,R151,RES_0603,1,,,,,,,,
20K,R155,RES_0603,1,,,,,,,,
30K,R156,RES_0603,1,,,,,,,,
4R7,R161,RES_0603,1,,,,,,,,
10,R168,RES_0603,1,,,,,,,,
