MCU引脚,原网络名/功能
A0,TXINA
B0,ADCMC
C0,ADC_B1
D0,LED2
E0,INTA0
F0,KEY2
G0,DIGIC1
A1,RXINA
B1,ADCMD
C1,ADC_B0
D1,DIRD
E1,PB_DET
F1,KEY4
G1,DIGIC0
A2,TXINB
C2,RXINB_EN
D2,INTD0
E2,PB_CON
F2,RED
G2,BELL
A3,RXINB
B3,SPI0_CLK
C3,ADC_C1
D3,DIRC
E3,KEY3
F3,PB_VOL
G3,LED1
A4,VS_CS
B4,SPI0_DI
C4,ADCMA
D4,MBIN0
E4,KEY5
F4,ADC_A0
G4,VS_XDCS
A5,ADC_C0
B5,SPI0_DO
C5,ADCMB
D5,MBIN1
E5,TACHOA0
F5,ADC_A1
G5,MDIN1
A6,ADC_D1
B6,TXINC
C6,TACHOC1
E6,TACHOA1
F6,I_ONA
G6,MDIN0
A7,ADC_D0
B7,RXINC
C7,TACHOC0
D7,INTC0
E7,LEGDETC
F7,DIGIA1
G7,MCIN0
A8,VS_DREQ
B8,MBPWM
C8,TACHOD1
D8,LCD_RST
E8,RXINC_EN
F8,LEGDETA
G8,MCIN1
A9,USB_Det
B9,MAPWM
C9,TACHOD0
D9,LCD_SDAI
E9,RXIND_EN
F9,DIGIA0
G9,BLE_RX
A10,USBID
B10,TXIND
C10,VS_SCK
D10,LCD_SDAO
E10,LEGDETD
F10,RXINA_EN
G10,MAIN0
A11,USBDM
B11,RXIND
C11,VS_MISO
D11,BLE_IO1
E11,DIGID0
F11,DIGIB1
G11,MAIN1
A12,USBDP
B12,LCD_LED
C12,VS_MOSI
D12,MDPWM
E12,DIGID1
F12,I_ONB
G12,DIRB
A13,SWDIO
B13,LCD_SCK
C13,BULE
D13,MCPWM
E13,TACHOB0
F13,DIGIB0
G13,INTB0
A14,SWCLK
B14,HOSTTDM
C14,KEY0
D14,BLE_IO2
E14,TACHOB1
F14,LEGDETB
G14,BLE_TX
A15,SPI0_CS
B15,HOSTDP
C15,KEY1
D15,VS_RST
E15,I_OND
F15,I_ONC
G15,DIRA
