package_pin,mcu_pin,current_net,subsystem,kind,verification,notes
1,PE2,PB_CON,power-control,gpio,hardware-tested,power hold high in Bootloader and minimal APP
2,PE3,KEY3,keys,gpio,hardware-tested,active low
3,PE4,KEY5,keys,gpio,hardware-tested,active low and physical power key
4,PE5,TACHOA0,motor-feedback,gpio,schematic,
5,PE6,TACHOA1,motor-feedback,gpio,schematic,
6,VBAT,VBAT,power,power,schematic,
7,PC13,BLUE,diagnostic-led,gpio,hardware-tested,active level follows board circuit
8,PC14,KEY0,keys,gpio,hardware-tested,active low and Bootloader entry key
9,PC15,KEY1,keys,gpio,hardware-tested,active low
10,PF0,KEY2,keys,gpio,hardware-tested,active low
11,PF1,KEY4,keys,gpio,hardware-tested,active low
12,PF2,RED,diagnostic-led,gpio,hardware-tested,active level follows board circuit
13,PF3,PB_VOL,power-monitor,gpio,schematic,ADC input
14,PF4,ADC_A0,input-port-a,gpio,schematic,ADC input
15,PF5,ADC_A1,input-port-a,gpio,schematic,ADC input
16,VSS,GND,power,ground,schematic,
17,VDD,V33,power,supply,schematic,
18,PF6,I_ONA,input-port-a,gpio,schematic,
19,PF7,DIGIA1,input-port-a,gpio,schematic,
20,PF8,ADCMC,motor-current-c,gpio,schematic,ADC input
21,PF9,ADCMD,motor-current-d,gpio,schematic,ADC input
22,PF10,ADC_C1,input-port-c,gpio,schematic,ADC input
23,PH0,HSE_IN,clock,clock,schematic,8 MHz crystal
24,PH1,HSE_OUT,clock,clock,schematic,8 MHz crystal
25,NRST,RST,system,reset,schematic,
26,PC0,ULPI_STP,usb-hs-ulpi,gpio,hardware-tested,USB3300
27,PC1,ADC_B0,input-port-b,gpio,schematic,ADC input
28,PC2,ULPI_DIR,usb-hs-ulpi,gpio,hardware-tested,USB3300
29,PC3,ULPI_NXT,usb-hs-ulpi,gpio,hardware-tested,USB3300
30,VDD,V33,power,supply,schematic,
31,VSSA,AGND,power,ground,schematic,
32,VREF+,VREF,power,analog-reference,schematic,
33,VDDA,V33A,power,supply,schematic,analog supply
34,PA0,TXINA,input-port-a,gpio,schematic,
35,PA1,RXINA,input-port-a,gpio,schematic,
36,PA2,ADC_B1,input-port-b,gpio,schematic,ADC input
37,PA3,ULPI_D0,usb-hs-ulpi,gpio,hardware-tested,USB3300
38,VSS,GND,power,ground,schematic,
39,VDD,V33,power,supply,schematic,
40,PA4,ADC_C0,input-port-c,gpio,schematic,ADC input
41,PA5,ULPI_CK,usb-hs-ulpi,gpio,hardware-tested,USB3300
42,PA6,ADC_D1,input-port-d,gpio,schematic,ADC input
43,PA7,ADC_D0,input-port-d,gpio,schematic,ADC input
44,PC4,ADCMA,motor-current-a,gpio,schematic,ADC input
45,PC5,ADCMB,motor-current-b,gpio,schematic,ADC input
46,PB0,ULPI_D1,usb-hs-ulpi,gpio,hardware-tested,USB3300
47,PB1,ULPI_D2,usb-hs-ulpi,gpio,hardware-tested,USB3300
48,PB2,NC,system,gpio,schematic,BOOT1-capable pin with no net shown
49,PF11,DIGIB1,input-port-b,gpio,schematic,
50,PF12,I_ONB,input-port-b,gpio,schematic,
51,VSS,GND,power,ground,schematic,
52,VDD,V33,power,supply,schematic,
53,PF13,DIGIB0,input-port-b,gpio,schematic,
54,PF14,LEGDETB,input-port-b,gpio,schematic,
55,PF15,I_ONC,input-port-c,gpio,schematic,
56,PG0,DIGIC1,input-port-c,gpio,schematic,
57,PG1,DIGIC0,input-port-c,gpio,schematic,
58,PE7,LEGDETC,input-port-c,gpio,schematic,
59,PE8,RXINC_EN,input-port-c,gpio,schematic,
60,PE9,RXIND_EN,input-port-d,gpio,schematic,
61,VSS,GND,power,ground,schematic,
62,VDD,V33,power,supply,schematic,
63,PE10,LEGDETD,input-port-d,gpio,schematic,
64,PE11,DIGID0,input-port-d,gpio,schematic,
65,PE12,DIGID1,input-port-d,gpio,schematic,
66,PE13,TACHOB0,motor-feedback,gpio,schematic,
67,PE14,TACHOB1,motor-feedback,gpio,schematic,
68,PE15,I_OND,input-port-d,gpio,schematic,
69,PB10,ULPI_D3,usb-hs-ulpi,gpio,hardware-tested,USB3300
70,PB11,ULPI_D4,usb-hs-ulpi,gpio,hardware-tested,USB3300
71,VCAP_1,VCAP_1,power,internal-cap,schematic,
72,VDD,V33,power,supply,schematic,
73,PB12,ULPI_D5,usb-hs-ulpi,gpio,hardware-tested,USB3300; legacy CSV incorrectly called this LCD_LED
74,PB13,ULPI_D6,usb-hs-ulpi,gpio,hardware-tested,USB3300; legacy CSV incorrectly called this LCD_SCK
75,PB14,HOSTDM,usb-host,gpio,schematic,USB FS host D-
76,PB15,HOSTDP,usb-host,gpio,schematic,USB FS host D+
77,PD8,TXIND,input-port-d,gpio,schematic,
78,PD9,RXIND,input-port-d,gpio,schematic,
79,PD10,BLE_IO2,bluetooth,gpio,schematic,
80,PD11,BLE_IO1,bluetooth,gpio,schematic,
81,PD12,MDPWM,motor-output-d,gpio,schematic,TIM4_CH1
82,PD13,MCPWM,motor-output-c,gpio,schematic,TIM4_CH2
83,VSS,GND,power,ground,schematic,
84,VDD,V33,power,supply,schematic,
